gpcBrickCode,category
10000599,FLOURS_YEAST_AND_MIXES
10000205,FRUITS_AND_VEGETABLES
10000271,FRUITS_AND_VEGETABLES
10000605,FRUITS_AND_VEGETABLES
10005876,FRUITS_AND_VEGETABLES
10005877,FRUITS_AND_VEGETABLES
10005878,FRUITS_AND_VEGETABLES
10005879,FRUITS_AND_VEGETABLES
10005880,FRUITS_AND_VEGETABLES
10005881,FRUITS_AND_VEGETABLES
10005882,FRUITS_AND_VEGETABLES
10005883,FRUITS_AND_VEGETABLES
10005884,FRUITS_AND_VEGETABLES
10005885,FRUITS_AND_VEGETABLES
10005886,FRUITS_AND_VEGETABLES
10005887,FRUITS_AND_VEGETABLES
10005888,FRUITS_AND_VEGETABLES
10005889,FRUITS_AND_VEGETABLES
10005895,FRUITS_AND_VEGETABLES
10005896,FRUITS_AND_VEGETABLES
10005897,FRUITS_AND_VEGETABLES
10005898,FRUITS_AND_VEGETABLES
10005899,FRUITS_AND_VEGETABLES
10005900,FRUITS_AND_VEGETABLES
10005901,FRUITS_AND_VEGETABLES
10005902,FRUITS_AND_VEGETABLES
10005903,FRUITS_AND_VEGETABLES
10005905,FRUITS_AND_VEGETABLES
10005907,FRUITS_AND_VEGETABLES
10005908,FRUITS_AND_VEGETABLES
10005909,FRUITS_AND_VEGETABLES
10005910,FRUITS_AND_VEGETABLES
10005911,FRUITS_AND_VEGETABLES
10005912,FRUITS_AND_VEGETABLES
10005913,FRUITS_AND_VEGETABLES
10005914,FRUITS_AND_VEGETABLES
10005915,FRUITS_AND_VEGETABLES
10005916,FRUITS_AND_VEGETABLES
10005917,FRUITS_AND_VEGETABLES
10005918,FRUITS_AND_VEGETABLES
10005921,FRUITS_AND_VEGETABLES
10005922,FRUITS_AND_VEGETABLES
10005923,FRUITS_AND_VEGETABLES
10005924,FRUITS_AND_VEGETABLES
10005925,FRUITS_AND_VEGETABLES
10005927,FRUITS_AND_VEGETABLES
10005928,FRUITS_AND_VEGETABLES
10005929,FRUITS_AND_VEGETABLES
10005930,FRUITS_AND_VEGETABLES
10005932,FRUITS_AND_VEGETABLES
10005934,FRUITS_AND_VEGETABLES
10005935,FRUITS_AND_VEGETABLES
10005937,FRUITS_AND_VEGETABLES
10005938,FRUITS_AND_VEGETABLES
10005939,FRUITS_AND_VEGETABLES
10005940,FRUITS_AND_VEGETABLES
10005941,FRUITS_AND_VEGETABLES
10005942,FRUITS_AND_VEGETABLES
10005946,FRUITS_AND_VEGETABLES
10005948,FRUITS_AND_VEGETABLES
10005949,FRUITS_AND_VEGETABLES
10005950,FRUITS_AND_VEGETABLES
10005951,FRUITS_AND_VEGETABLES
10005952,FRUITS_AND_VEGETABLES
10005953,FRUITS_AND_VEGETABLES
10005954,FRUITS_AND_VEGETABLES
10005955,FRUITS_AND_VEGETABLES
10005956,FRUITS_AND_VEGETABLES
10005957,FRUITS_AND_VEGETABLES
10005959,FRUITS_AND_VEGETABLES
10005960,FRUITS_AND_VEGETABLES
10005961,FRUITS_AND_VEGETABLES
10005963,FRUITS_AND_VEGETABLES
10005964,FRUITS_AND_VEGETABLES
10005965,FRUITS_AND_VEGETABLES
10005966,FRUITS_AND_VEGETABLES
10005967,FRUITS_AND_VEGETABLES
10005968,FRUITS_AND_VEGETABLES
10005969,FRUITS_AND_VEGETABLES
10005970,FRUITS_AND_VEGETABLES
10005971,FRUITS_AND_VEGETABLES
10005972,FRUITS_AND_VEGETABLES
10005973,FRUITS_AND_VEGETABLES
10005974,FRUITS_AND_VEGETABLES
10005976,FRUITS_AND_VEGETABLES
10005979,FRUITS_AND_VEGETABLES
10005980,FRUITS_AND_VEGETABLES
10005981,FRUITS_AND_VEGETABLES
10005982,FRUITS_AND_VEGETABLES
10005984,FRUITS_AND_VEGETABLES
10005985,FRUITS_AND_VEGETABLES
10005986,FRUITS_AND_VEGETABLES
10005987,FRUITS_AND_VEGETABLES
10005988,FRUITS_AND_VEGETABLES
10005996,FRUITS_AND_VEGETABLES
10005997,FRUITS_AND_VEGETABLES
10005999,FRUITS_AND_VEGETABLES
10006000,FRUITS_AND_VEGETABLES
10006003,FRUITS_AND_VEGETABLES
10006004,FRUITS_AND_VEGETABLES
10006005,FRUITS_AND_VEGETABLES
10006006,FRUITS_AND_VEGETABLES
10006007,FRUITS_AND_VEGETABLES
10006009,FRUITS_AND_VEGETABLES
10006014,FRUITS_AND_VEGETABLES
10006015,FRUITS_AND_VEGETABLES
10006031,FRUITS_AND_VEGETABLES
10006032,FRUITS_AND_VEGETABLES
10006033,FRUITS_AND_VEGETABLES
10006034,FRUITS_AND_VEGETABLES
10006035,FRUITS_AND_VEGETABLES
10006036,FRUITS_AND_VEGETABLES
10006037,FRUITS_AND_VEGETABLES
